time,speed_ms,speed_kmh,motor_rpm,motor_torque,motor_power,tractive_force,rolling_resistance,drag_force,climbing_force,total_resistance,net_force,acceleration,distance,energy
0.5,1.2842041144901608,4.623134812164579,229.07480209809017,74.0,1.7751606313049428,1382.3041144901608,98.10000000000001,0.0,0.0,98.10000000000001,1284.204114490161,2.5684082289803216,0.0003210510286225402,0.00024655008768124204
1.0,2.5645689374568574,9.232448174844688,457.46475594191077,74.0,3.5450141941402746,1382.3041144901608,98.10000000000001,3.8392915234638108,0.0,101.93929152346382,1280.364822966697,2.5607296459333937,0.0012832442916092947,0.0007389131702007247
1.5,3.833461763739211,13.80046234946116,683.8083486656542,74.0,4.0,1382.3041144901608,98.10000000000001,15.311288207806891,0.0,113.4112882078069,1268.892826282354,2.537785652564708,0.002882751966908312,0.0012944687257562802
2.0,5.083454919298422,18.30043770947432,906.7806406111393,74.0,4.0,1382.3041144901608,98.10000000000001,34.21095893094967,0.0,132.31095893094968,1249.9931555592111,2.4999863111184224,0.005111981137667721,0.0018500242813118356
2.5,6.307499989390879,22.706999961807167,1125.1243439420487,74.0,4.0,1382.3041144901608,98.10000000000001,60.15904439770356,0.0,158.25904439770358,1224.0450700924573,2.4480901401849144,0.007959719864840047,0.0024055798368673915
3.0,7.499085657242606,26.99670836607338,1337.6779777188901,74.0,4.0,1382.3041144901608,98.10000000000001,92.61844663843434,0.0,190.71844663843433,1191.5856678517266,2.3831713357034534,0.011411366276498419,0.002961135392422947
3.5,8.652371698635594,31.14853811508814,1543.3997696938939,74.0,4.0,1382.3041144901608,98.10000000000001,130.91807309717262,0.0,229.01807309717265,1153.2860413929882,2.3065720827859764,0.015449230615467968,0.0035166909479785024
4.0,9.762293501291332,35.144256604648795,1741.386300354294,74.0,4.0,1382.3041144901608,98.10000000000001,174.2823118344233,0.0,272.3823118344233,1109.9218026557376,2.219843605311475,0.0200528969154497,0.004072246503534058
4.5,10.824633688165827,38.968681277396975,1930.8852790004864,74.0,4.0,1382.3041144901608,98.10000000000001,221.8639276156664,0.0,319.9639276156664,1062.3401868744945,2.124680373748989,0.02519962871281399,0.004627802059089613
5.0,11.836059769899624,42.609815171638644,2111.302260145263,74.0,4.0,1382.3041144901608,98.10000000000001,272.77803275636467,0.0,370.8780327563647,1011.4260817337961,2.0228521634675922,0.030864802077330354,0.0051833576146451685
