Time,Vehicle Speed (m/s),Vehicle Speed (Kmph),Motor Speed (RPM),Gradient (Degree),"Mode, Eco-1, Boost-2",Total Motor Torque (Nm),Total Number of Power Wheel (No),PerMotor Torque (Nm),PerMotor Power (Watts),Motoring Tractive Force F_Tractive (N),Froll (N),Fdrag (N),Fclimb (N),F_Load Resitance  (N),Net Force F_Net(N),Vehicle Acceleration (m/s),Motor Power (kW),Total Power (kW)
0.0,0.0,0.0,0.0,0,2,74.0,2,37.0,0.0,1313.1889087656527,29.400000000000002,0.0,0,29.400000000000002,1283.7889087656526,8.55859272510435,0.0,0.0
0.5,4.279296362552175,15.405466905187831,763.3357939831046,0,2,50.03982080119817,2,25.019910400599084,2000.0,887.9964550372194,29.400000000000002,4.263122131170429,0,33.66312213117043,854.333332906049,5.695555552706994,3.9999999999999996,4.0
1.0,7.127074138905672,25.65746690006042,1271.3190056678811,0,2,30.045319995816612,2,15.022659997908306,2000.0,533.1781213354226,29.400000000000002,11.825121141942587,0,41.22512114194259,491.95300019348,3.2796866679565335,4.0,4.0
1.5,8.76691747288394,31.560902902382182,1563.8323086267949,0,2,24.42537229301518,2,12.21268614650759,2000.0,433.447675508911,29.400000000000002,17.892741274934338,0,47.29274127493434,386.15493423397663,2.574366228226511,3.9999999999999996,4.0
2.0,10.054100586997194,36.1947621131899,1793.4385011334741,0,2,21.298297275269718,2,10.649148637634859,2000.0,377.9552399659178,29.400000000000002,23.532577474424816,0,52.93257747442482,325.022662491493,2.1668177499432866,3.9999999999999996,4.0
2.5,11.137509461968838,40.095034063087816,1986.6956872965739,0,2,19.226490793883123,2,9.613245396941561,2000.0,341.18938466232765,29.400000000000002,28.877475061591138,0,58.27747506159114,282.9119096007365,1.8860793973382435,4.0,4.0
3.0,12.08054916063796,43.48997697829665,2154.9139867909935,0,2,17.725619944087192,2,8.862809972043596,1999.9999999999998,314.55523664284533,29.400000000000002,33.97476015162004,0,63.37476015162004,251.1804764912253,1.674536509941502,3.9999999999999996,3.9999999999999996
3.5,12.91781741560871,46.50414269619136,2304.2649019970104,0,2,16.576733998313724,2,8.288366999156862,2000.0,294.16734094789325,29.400000000000002,38.847343794657526,0,68.24734379465752,225.91999715323573,1.506133314354905,4.0,4.0
4.0,13.670884072786162,49.21518266203019,2438.596036365072,0,2,15.663597320936734,2,7.831798660468367,2000.0,277.9630036922366,29.400000000000002,43.508713967380196,0,72.9087139673802,205.0542897248564,1.3670285981657093,4.0,4.0
4.5,14.354398371869017,51.67583413872846,2560.5205038441236,0,2,14.917742812334145,2,7.458871406167073,2000.0,264.7272216888613,29.400000000000002,47.96815728444819,0,77.36815728444819,187.3590644044131,1.2490604293627539,3.9999999999999996,4.0
5.0,14.978928586550394,53.92414291158142,2671.923460522246,0,2,14.295763672283107,2,7.147881836141553,2000.0000000000002,253.68970671320423,29.400000000000002,52.23294896997819,0,81.63294896997819,172.05675774322606,1.1470450516215072,4.000000000000001,4.000000000000001
5.5,15.552451112361148,55.98882400450013,2774.2277263445476,0,2,13.76858358790368,2,6.88429179395184,2000.0,244.33447644659336,29.400000000000002,56.30937865773438,0,85.70937865773438,158.62509778885897,1.0575006519257264,4.0,4.0
6.0,16.081201438324012,57.89232517796644,2868.5455804244116,0,2,13.315872197646401,2,6.657936098823201,2000.0,236.3007524390564,29.400000000000002,60.20326287467026,0,89.60326287467026,146.69748956438613,0.9779832637625742,4.0,4.0
6.5,16.5701930702053,59.65269505273908,2955.7713259557586,0,2,12.92291660272592,2,6.46145830136296,2000.0,229.32744258923225,29.400000000000002,63.92020849099933,0,93.32020849099933,136.0072340982329,0.9067148939882195,3.9999999999999996,4.0
7.0,17.02355051719941,61.28478186191788,3036.6406879816714,0,2,12.578763925949685,2,6.289381962974843,2000.0,223.2201793721436,29.400000000000002,67.46574696538809,0,96.8657469653881,126.3544324067555,0.8423628827117033,4.0,4.0
7.5,17.444731958555263,62.801035050798944,3111.7705324023027,0,2,12.27506525443136,2,6.13753262721568,2000.0,217.83080468234996,29.400000000000002,70.84539843430179,0,100.24539843430179,117.58540624804817,0.7839027083203212,3.9999999999999996,4.0
8.0,17.836683312715422,64.21205992577552,3181.6863486446164,0,2,12.00532741334692,2,6.00266370667346,2000.0,213.0440919636138,29.400000000000002,74.06469667838792,0,103.46469667838792,109.57939528522587,0.7305293019015058,4.0,4.0
8.5,18.201947963666175,65.52701266919823,3246.8418225181686,0,2,11.764412444468919,2,5.882206222234459,2000.0,208.76886405704332,29.400000000000002,77.12919211231346,0,106.52919211231347,102.23967194472985,0.6815978129648657,4.0,4.0
9.0,18.54274687014861,66.75388873253499,3307.633126000873,0,2,11.548193190409112,2,5.774096595204556,2000.0,204.93188126930113,29.400000000000002,80.0444426420758,0,109.4444426420758,95.48743862722533,0.6365829241815022,4.0,4.0
9.5,18.86103833223936,67.8997379960617,3364.4095783305697,0,2,11.353310425720652,2,5.676655212860326,2000.0,201.47353147067312,29.400000000000002,82.81599820122128,0,112.21599820122128,89.25753326945184,0.5950502217963456,4.0,4.0
10.0,19.158563443137535,68.97082839529513,3417.481753640699,0,2,11.176997887805195,2,5.588498943902597,2000.0,198.34472512922852,29.400000000000002,85.44938245795976,0,114.84938245795976,83.49534267126876,0.5566356178084584,4.0,4.0
10.5,19.436881252041765,69.97277250735036,3467.12775327248,0,2,11.016953818907343,2,5.508476909453671,1999.9999999999998,195.50461572125033,29.400000000000002,87.95007380524055,0,117.35007380524056,78.15454191600978,0.5210302794400652,4.0,3.9999999999999996
11.0,19.697396391761796,70.91062701034247,3513.5981339553946,0,2,10.871245055863808,2,5.435622527931904,2000.0,192.91889772748365,29.400000000000002,90.32348690193975,0,119.72348690193975,73.1954108255439,0.487969405503626,4.0,4.0
11.5,19.94138109451361,71.788971940249,3557.119834958527,0,2,10.738234334042398,2,5.369117167021199,2000.0,190.5585165836622,29.400000000000002,92.57495550589337,0,121.97495550589338,68.58356107776882,0.4572237405184588,4.0,4.0
12.0,20.169992964772838,72.61197467318222,3597.899348391014,0,2,10.616524433663415,2,5.308262216831707,2000.0,188.39867751251822,29.400000000000002,94.70971700467679,0,124.1097170046768,64.28896050784142,0.42859307005227615,3.9999999999999996,4.0
12.5,20.384289499798975,73.38344219927632,3636.1253093558785,0,2,10.504914735411393,2,5.252457367705697,1999.9999999999998,186.41807456852857,29.400000000000002,96.73289883548588,0,126.13289883548589,60.28517573304268,0.4019011715536179,3.9999999999999996,3.9999999999999996
13.0,20.585240085575784,74.10686430807283,3671.970635771604,0,2,10.402367047804121,2,5.201183523902061,2000.0,184.59828421737404,29.400000000000002,98.64950684776856,0,128.04950684776855,56.54877736960549,0.37699184913070327,4.0,4.0
13.5,20.773736010141135,74.78544963650809,3705.5943145380024,0,2,10.307978450905289,2,5.153989225452644,2000.0,182.92328342600243,29.400000000000002,100.46441557457582,0,129.86441557457582,53.05886785142661,0.3537257856761774,4.0,4.0
14.0,20.950598902979223,75.4221560507252,3737.1429069449546,0,2,10.220959511896314,2,5.110479755948157,1999.9999999999998,181.37906308060863,29.400000000000002,102.18236032398579,0,131.5823603239858,49.796702756622835,0.3319780183774856,3.9999999999999996,3.9999999999999996
14.5,21.116587912167965,76.01971648380467,3766.7518289234235,0,2,10.140616657766921,2,5.070308328883461,2000.0000000000002,179.95331517599652,29.400000000000002,103.80793096944663,0,133.20793096944664,46.745384206549886,0.3116358947103326,4.0,4.000000000000001
15.0,21.272405859523133,76.58066109428329,3794.5464489927476,0,2,10.06633779702294,2,5.03316889851147,1999.9999999999998,178.63517766133785,29.400000000000002,105.34556730025818,0,134.7455673002582,43.88961036107966,0.2925974024071977,3.9999999999999996,3.9999999999999996
15.5,21.41870456072673,77.10733641861623,3820.6430372588006,0,2,9.99758050400339,2,4.998790252001695,2000.0,177.41502476147267,29.400000000000002,106.79955578582411,0,136.19955578582412,41.21546897564855,0.2747697931709903,4.0,4.0
16.0,21.556089457312225,77.60192204632402,3845.149591662019,0,2,9.933862241636382,2,4.966931120818191,1999.9999999999998,176.28429347192977,29.400000000000002,108.17402760645786,0,137.57402760645786,38.71026586547191,0.2580684391031461,3.9999999999999996,3.9999999999999996
16.5,21.6851236768638,78.06644523670968,3868.1665622309015,0,2,9.874752218535617,2,4.937376109267809,2000.0,175.23533905662157,29.400000000000002,109.47295780713978,0,138.87295780713978,36.362381249481786,0.24241587499654524,4.0,4.0
17.0,21.806331614362072,78.50279381170347,3889.7874899182093,0,2,9.819864566138047,2,4.909932283069024,2000.0,174.26131397072058,29.400000000000002,110.70016543712701,0,140.100165437127,34.161148533593575,0.22774099022395716,4.0,4.0
17.5,21.92020210947405,78.91272759410658,3910.099573362159,0,2,9.768852589401053,2,4.884426294700527,2000.0,173.35606583470394,29.400000000000002,111.85931454658858,0,141.25931454658857,32.09675128811537,0.21397834192076914,3.9999999999999996,4.0
18.0,22.027191280434437,79.29788860956397,3929.1841743908035,0,2,9.72140389626229,2,4.860701948131145,2000.0,172.51405100274113,29.400000000000002,112.95391592071272,0,142.35391592071272,30.160135082028404,0.2010675672135227,4.0,4.0
18.5,22.127725064041197,79.65981023054832,3947.1172711034196,0,2,9.677236250793438,2,4.838618125396719,2000.0000000000002,171.7302609736061,29.400000000000002,113.9873294414513,0,143.3873294414513,28.342931532154807,0.18895287688103204,4.0,4.000000000000001
19.0,22.222201502481713,79.99992540893417,3963.9698657918316,0,2,9.6360940257614,2,4.8180470128807,2000.0000000000002,171.0001594385519,29.400000000000002,114.96276697685497,0,144.36276697685497,26.63739246169692,0.1775826164113128,4.000000000000001,4.000000000000001
19.5,22.31099281068737,80.31957411847453,3979.808353712668,0,2,9.597745154341826,2,4.798872577170913,2000.0,170.3196281870402,29.400000000000002,115.88329570754601,0,145.28329570754602,25.036332479494178,0.16690888319662786,4.0,4.0
