Time,Vehicle Speed (m/s),Vehicle Speed (Kmph),Motor Speed (RPM),Gradient (Degree),"Mode, Eco-1, Boost-2",Total Motor Torque (Nm),Total Number of Power Wheel (No),PerMotor Torque (Nm),Motoring Tractive Force F_Tractive (N),Froll (N),Fdrag (N),Fclimb (N),F_Load Resitance  (N),Net Force F_Net(N),Vehicle Acceleration (m/s),Motor Power (kW)
11,15.393659267454575,55.41717336283647,2745.902625968113,60,2,76.50836664582492,2,38.25418332291246,1357.7018717172066,29.400000000000002,55.165401612034906,1273.0572324336108,1357.6226340456458,0.0792376715608043,0.0005282511437386953,22.0
12,15.394187518598313,55.41907506695393,2745.996854778662,60,2,76.50574126321622,2,38.25287063160811,1357.6552822128417,29.400000000000002,55.1691878055574,1273.0572324336108,1357.6264202391683,0.02886197367342902,0.00019241315782286014,22.0
13,15.394379931756136,55.41976775432209,2746.031177208836,60,2,76.50478502390466,2,38.25239251195233,1357.6383129850299,29.400000000000002,55.170566942191655,1273.0572324336108,1357.6277993758024,0.010513609227473353,7.009072818315569e-05,22.0
14,15.39445002248432,55.42002008094355,2746.0436799095414,60,2,76.50443669862612,2,38.25221834931306,1357.632131675673,29.400000000000002,55.1710693273519,1273.0572324336108,1357.6283017609628,0.0038299147101952258,2.553276473463484e-05,22.0
15,15.394475555249054,55.420111998896594,2746.0482344137376,60,2,76.50430981091395,2,38.252154905456976,1357.6298799522096,29.400000000000002,55.171252337605516,1273.0572324336108,1357.6284847712163,0.0013951809933132608,9.301206622088406e-06,22.0
16,15.394484856455676,55.42014548324044,2746.0498935519095,60,2,76.5042635877113,2,38.25213179385565,1357.629059684682,29.400000000000002,55.17131900559572,1273.0572324336108,1357.6285514392066,0.000508245475430158,3.3883031695343865e-06,22.0
17,15.394488244758845,55.42015768113184,2746.050497953397,60,2,76.50424674924065,2,38.252123374620325,1357.6287608726157,29.400000000000002,55.171343291848515,1273.0572324336108,1357.6285757254593,0.00018514715634410095,1.2343143756273396e-06,22.0
18,15.39448947907322,55.42016212466359,2746.0507181289267,60,2,76.50424061520863,2,38.252120307604315,1357.6286520193344,29.400000000000002,55.171352139013,1273.0572324336108,1357.6285845726238,6.744671054548235e-05,4.496447369698823e-07,22.0
19,15.394489928717958,55.42016374338465,2746.0507983360203,60,2,76.50423838066045,2,38.25211919033023,1357.6286123654982,29.400000000000002,55.171355361920604,1273.0572324336108,1357.6285877955315,2.4569966626586393e-05,1.6379977751057596e-07,22.0
20,15.394490092517735,55.420164333063845,2746.05082755443,60,2,76.50423756664341,2,38.252118783321706,1357.628597920118,29.400000000000002,55.17135653598428,1273.0572324336108,1357.628588969595,8.950522897066548e-06,5.967015264711033e-08,21.999999999999996
21,15.394490152187888,55.4201645478764,2746.050838198321,60,2,76.50423727010748,2,38.25211863505374,1357.6285926578516,29.400000000000002,55.171356963680594,1273.0572324336108,1357.6285893972913,3.2605603337287903e-06,2.173706889152527e-08,22.0
22,15.394490173924957,55.420164626129846,2746.050842075753,60,2,76.50423716208327,2,38.252118581041636,1357.628590740876,29.400000000000002,55.17135711948486,1273.0572324336108,1357.6285895530957,1.1877802990056807e-06,7.918535326704539e-09,22.0
23,15.394490181843492,55.42016465463657,2746.050843488252,60,2,76.50423712273141,2,38.252118561365705,1357.628590042546,29.400000000000002,55.171357176242346,1273.0572324336108,1357.6285896098532,4.3269278648949694e-07,2.8846185765966462e-09,22.0
24,15.394490184728111,55.420164665021204,2746.050844002807,60,2,76.50423710839605,2,38.25211855419803,1357.6285897881537,29.400000000000002,55.17135719691837,1273.0572324336108,1357.6285896305292,1.576245267642662e-07,1.0508301784284414e-09,22.0
25,15.394490185778942,55.42016466880419,2746.050844190253,60,2,76.50423710317386,2,38.25211855158693,1357.6285896954819,29.400000000000002,55.171357204450366,1273.0572324336108,1357.6285896380612,5.742072062275838e-08,3.828048041517225e-10,22.0
